round,age,criminal_cases,assets_cr,liabilities_cr,campaign_spending_cr,social_media_followers,speech_sentiment,popularity_score,historical_win_rate,total_votes,vote_surge_score,constituency_volatility,independent_candidate_count,voter_turnout,urban_voter_ratio,postal_vote_ratio,anomaly_score,strategic_manipulation_score,bot_activity_flag,fake_news_score,cyber_attack_risk,booth_capture_risk,deepfake_propagation_score,suspicious_timing_index,vote_injection_risk,adversarial_pressure,strategic_polarization_index,influence_network_strength,vote_change_per_round,late_round_surge,sequential_risk_score,network_failure_count,power_outage_risk,time_between_updates_hr,server_delay_s,attack_response_score,fraud_label
5.0,4.060443010546419,1.3862943611198906,0.5766133643039938,0.0295588022415444,0.11332868530700317,8.683046555502886,0.3338,0.5099,0.2708,11.499901013847476,0.119,0.2176,4.0,0.7709,0.2458,0.054,0.4962,0.5553,1.0,0.6083,0.9021,0.5294,0.749,0.6461,0.1708,1.0,0.7281,0.4246,0.0116,0.0358,0.4764,6.0,0.2407,0.8283333333333334,0.0,1.0,1
1.0,3.9889840465642745,0.0,3.6423118182976015,2.663052835171474,0.0,7.9420068084898565,0.3863,0.5378,0.3747,11.318697305069707,0.1236,0.1326,7.0,0.5558,0.7384,0.0316,0.3934,0.4405,1.0,0.5507,0.5758,0.4016,0.7336,0.276,0.1683,0.6439,0.4937,0.2489,-0.0495,0.0,0.2238,5.0,0.0965,2.9883333333333337,0.3412,-1.0,1
3.0,4.1588830833596715,0.6931471805599453,1.0116009116784799,0.49469624183610705,0.5007752879124893,10.265314203614462,0.6685,0.6436,0.4959,11.49218179503228,0.1361,0.1613,6.0,0.5434,0.3962,0.0176,0.1757,0.2581,0.0,0.2279,0.2289,0.4764,0.1133,0.129,0.1677,0.5767,0.4126,0.2468,0.001,0.0,0.1412,2.0,0.2881,1.1216666666666666,0.2502,1.0,0
6.0,4.204692619390966,0.0,2.4051416813191375,1.235471471385307,0.8544153281560676,8.973478148521036,0.9111,0.7059,0.475,11.396110710378393,0.2319,0.3166,4.0,0.5295,0.1603,0.2349,0.3838,0.3488,1.0,0.3397,0.1793,0.3421,0.505,0.474,0.3142,0.9957,0.6684,0.172,-0.0229,0.1203,0.3859,1.0,0.0592,0.435,0.25730000000000003,1.0,0
5.0,4.02535169073515,1.3862943611198906,2.850128299695199,1.6134299337036377,1.7544036826842861,8.227375506834035,0.578,0.4753,0.0736,11.485944736638453,0.0471,0.2898,4.0,0.697,0.3515,0.1271,0.2646,0.1655,0.0,0.1694,0.409,0.3393,0.1438,0.5279,0.1523,0.8833,0.5204,0.3496,0.0557,0.0311,0.2413,1.0,0.1,0.83,0.43660000000000004,1.0,0
3.0,4.04305126783455,1.0986122886681096,1.5830939370944985,0.6780335427498971,0.6931471805599453,10.45926742130316,0.2054,0.4196,0.4709,11.049873616009078,0.1552,0.02,6.0,0.5335,0.4066,0.0985,0.2646,0.2808,1.0,0.5014,0.1575,0.3509,0.5229,0.1269,0.1765,0.8011,0.5479,0.5313,-0.0151,0.0,0.191,1.0,0.3276,0.7366666666666667,0.2718,1.0,0
5.0,3.9512437185814275,0.0,2.6026896854443837,0.5877866649021191,0.0,11.255863120452393,0.0,0.6568,0.7408,12.23087256943565,0.0833,0.2174,7.0,0.7442,0.7217,0.0236,0.2871,0.2692,0.0,0.2238,0.3264,0.4759,0.1592,0.4776,0.1866,0.9796,0.6704,0.4193,-0.0073,0.0209,0.2429,1.0,0.1829,2.2866666666666666,0.14780000000000001,1.0,0
7.0,3.5263605246161616,1.0986122886681096,1.6409365794934714,0.7227059828014898,0.9400072584914712,9.398146859000708,0.7647,0.6629,0.0145,11.675316386275304,0.0,0.1214,2.0,0.7678,0.4921,0.1036,0.2545,0.2078,0.0,0.2444,0.3531,0.2768,0.1632,0.5014,0.1004,1.0,0.6521,0.1943,0.0,0.0196,0.2745,4.0,0.181,1.74,0.147,1.0,0
4.0,3.713572066704308,0.0,2.906354462402774,0.3987761199573678,0.7839015438284094,9.25320827220336,0.2736,0.4303,0.4011,10.555838779903407,0.2079,0.0033,4.0,0.4938,0.2285,0.0641,0.2654,0.3176,1.0,0.381,0.2292,0.3026,0.5868,0.1287,0.132,0.7857,0.5547,0.28,-0.0086,0.0,0.2069,1.0,0.1669,0.9466666666666667,0.1436,1.0,0
6.0,4.0943445622221,1.6094379124341003,0.9360933591703348,0.3576744442718159,0.3784364357202451,10.720355660085833,0.2616,0.4292,0.4629,11.859001437734136,0.1183,0.1472,4.0,0.7314,0.1687,0.0182,0.2268,0.1705,0.0,0.1504,0.1975,0.2607,0.1231,0.462,0.1618,0.7243,0.5296,0.3313,0.0635,0.2276,0.249,0.0,0.1326,0.9916666666666667,0.115,1.0,1
7.0,4.189654742026425,0.0,0.8544153281560676,0.31481073984003355,0.18232155679395462,12.640555956708045,0.6463,0.6527,0.3141,11.408142560240865,0.0674,0.2534,3.0,0.718,0.3991,0.0261,0.4399,0.3952,1.0,0.5791,0.3856,0.553,0.6786,0.5004,0.167,1.0,0.7301,0.3862,0.0032,0.2841,0.5311,5.0,0.1379,0.5633333333333332,0.359,1.0,1
